epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1098.42,0.26358,0.21731,0.81725,0.98145,1,0.995,0.94823,0.22258,0.17663,0.75109,0.000594321,0.000594321,0.000594321
61,1115.71,0.27449,0.22891,0.83022,0.9828,1,0.995,0.95469,0.21992,0.1741,0.75058,0.000580174,0.000580174,0.000580174
62,1134.2,0.27493,0.23288,0.82441,0.98427,1,0.995,0.95513,0.22591,0.17225,0.75229,0.000566027,0.000566027,0.000566027
63,1151.72,0.26316,0.20922,0.82341,0.98407,1,0.995,0.95992,0.21801,0.1716,0.75054,0.00055188,0.00055188,0.00055188
64,1169.08,0.26009,0.21204,0.81794,0.98042,1,0.995,0.9605,0.22053,0.16954,0.75047,0.000537733,0.000537733,0.000537733
65,1186.29,0.2695,0.22152,0.82506,0.97796,1,0.995,0.95559,0.22405,0.16571,0.75164,0.000523586,0.000523586,0.000523586
66,1203.72,0.26671,0.21768,0.82591,0.97837,1,0.995,0.95561,0.21209,0.15675,0.7521,0.000509438,0.000509438,0.000509438
67,1221.17,0.27732,0.22836,0.83284,0.97953,1,0.995,0.95729,0.22213,0.15656,0.75232,0.000495291,0.000495291,0.000495291
68,1238.11,0.26469,0.21539,0.8249,0.98114,1,0.995,0.95682,0.22601,0.15999,0.75324,0.000481144,0.000481144,0.000481144
69,1255.49,0.26271,0.21118,0.82274,0.98224,1,0.995,0.95669,0.22806,0.16252,0.75381,0.000466997,0.000466997,0.000466997
70,1273.1,0.25936,0.21411,0.83551,0.98618,1,0.995,0.95849,0.20719,0.15966,0.75216,0.00045285,0.00045285,0.00045285
71,1291.19,0.25866,0.22176,0.82934,0.98674,1,0.995,0.96211,0.21762,0.15565,0.75714,0.000438703,0.000438703,0.000438703
72,1308.36,0.24833,0.20623,0.83273,0.98859,1,0.995,0.96343,0.20265,0.15061,0.75604,0.000424556,0.000424556,0.000424556
73,1325.72,0.26262,0.20865,0.8401,0.98804,1,0.995,0.96506,0.20917,0.15297,0.75607,0.000410409,0.000410409,0.000410409
74,1342.96,0.23701,0.19183,0.82768,0.98723,1,0.995,0.96221,0.19907,0.15398,0.75384,0.000396262,0.000396262,0.000396262
75,1360.76,0.23997,0.19616,0.82264,0.98765,1,0.995,0.97533,0.19179,0.15216,0.75266,0.000382115,0.000382115,0.000382115
76,1378.06,0.24785,0.21312,0.82402,0.98894,1,0.995,0.96862,0.19091,0.14488,0.75206,0.000367967,0.000367967,0.000367967
77,1395.27,0.23223,0.19,0.81699,0.9903,1,0.995,0.96229,0.1872,0.14506,0.75183,0.00035382,0.00035382,0.00035382
78,1412.55,0.23721,0.1902,0.81849,0.99101,1,0.995,0.96692,0.19082,0.14367,0.75257,0.000339673,0.000339673,0.000339673
79,1429.8,0.22289,0.18777,0.80695,0.99054,1,0.995,0.96693,0.20178,0.14444,0.75131,0.000325526,0.000325526,0.000325526
80,1446.99,0.26716,0.21868,0.83904,0.98858,1,0.995,0.96722,0.19429,0.14507,0.74921,0.000311379,0.000311379,0.000311379
81,1464.96,0.23517,0.18772,0.81523,0.98855,1,0.995,0.97314,0.19708,0.14484,0.74989,0.000297232,0.000297232,0.000297232
82,1482.49,0.25027,0.20324,0.82866,0.98784,1,0.995,0.97276,0.19925,0.14359,0.7508,0.000283085,0.000283085,0.000283085
83,1500.02,0.23881,0.19582,0.81511,0.98573,1,0.995,0.96815,0.1917,0.14408,0.74883,0.000268938,0.000268938,0.000268938
84,1517.74,0.23347,0.19318,0.816,0.98353,1,0.995,0.97274,0.17961,0.14278,0.74683,0.000254791,0.000254791,0.000254791
85,1534.99,0.2373,0.19524,0.82125,0.98346,1,0.995,0.97801,0.18274,0.1442,0.74729,0.000240644,0.000240644,0.000240644
